acceptable_count,applied_profile,count,expected_acceptable_profiles,method,missing_count,over_count,under_count
15,large,15,"[""large""]",static_manual,0,0,0
5,medium,5,"[""medium""]",static_manual,0,0,0
20,medium,20,"[""medium"",""large""]",static_manual,0,0,0
5,small,5,"[""small""]",static_manual,0,0,0
15,small,15,"[""small"",""medium""]",static_manual,0,0,0
5,large,5,"[""large""]",intent_only,0,0,0
0,medium,10,"[""large""]",intent_only,0,0,10
0,small,5,"[""medium""]",intent_only,0,0,5
15,medium,15,"[""medium"",""large""]",intent_only,0,0,0
0,small,5,"[""medium"",""large""]",intent_only,0,0,5
5,small,5,"[""small""]",intent_only,0,0,0
5,medium,5,"[""small"",""medium""]",intent_only,0,0,0
10,small,10,"[""small"",""medium""]",intent_only,0,0,0
15,large,15,"[""large""]",context_aware,0,0,0
5,medium,5,"[""medium""]",context_aware,0,0,0
5,large,5,"[""medium"",""large""]",context_aware,0,0,0
15,medium,15,"[""medium"",""large""]",context_aware,0,0,0
5,small,5,"[""small""]",context_aware,0,0,0
5,medium,5,"[""small"",""medium""]",context_aware,0,0,0
10,small,10,"[""small"",""medium""]",context_aware,0,0,0
